facility_id,facility_name,prefecture
kanagawa_001,RAKU SPA BAY 横浜,神奈川県
kanagawa_002,RAKU SPA 鶴見,神奈川県
kanagawa_003,おふろの王様 港南台店,神奈川県
kanagawa_004,おふろの王様 瀬谷店,神奈川県
kanagawa_005,スカイスパYOKOHAMA,神奈川県
kanagawa_006,ヨコヤマ・ユーランド緑,神奈川県
kanagawa_007,横浜天然温泉 SPA EAS,神奈川県
kanagawa_008,宮前平源泉 湯けむりの庄,神奈川県
kanagawa_009,港北 天然温泉 ゆったりCOco,神奈川県
kanagawa_010,溝口温泉 喜楽里,神奈川県
kanagawa_011,星川温泉 杉山神社ゆかりの湯,神奈川県
kanagawa_012,川崎ビッグ,神奈川県
kanagawa_013,天然温泉 満天の湯,神奈川県
kanagawa_014,湯快爽快 たや店,神奈川県
kanagawa_015,縄文天然温泉 志楽の湯,神奈川県
kanagawa_016,稲村ヶ崎温泉,神奈川県
kanagawa_017,横須賀温泉 湯楽の里,神奈川県
kanagawa_018,江の島ホテル 江の島アイランドスパ,神奈川県
kanagawa_019,佐野天然温泉 のぼり雲,神奈川県
kanagawa_020,湘南RESORT SPA 竜泉寺の湯,神奈川県
kanagawa_021,湯快爽快 茅ヶ崎店,神奈川県
kanagawa_022,油壺温泉 みうら湯,神奈川県
kanagawa_023,おふろの王様 高座渋谷駅前店,神奈川県
kanagawa_024,秦野万葉の湯,神奈川県
kanagawa_025,相模・下九沢温泉 湯楽の里,神奈川県
kanagawa_026,相模原 欅の湯,神奈川県
kanagawa_027,相模湖温泉 うるり,神奈川県
kanagawa_028,東名厚木健康センター,神奈川県
kanagawa_029,湯花楽 厚木店,神奈川県
kanagawa_030,湯楽おんりーゆー,神奈川県
kanagawa_031,箱根湯寮,神奈川県
kanagawa_032,万葉の湯 小田原おだわら,神奈川県
kanagawa_033,おふろの国,神奈川県
kanagawa_034,すすき野 湯けむりの里,神奈川県
kanagawa_035,スパ･リブール ヨコハマ,神奈川県
kanagawa_036,ヨコヤマ・ユーランド鶴見,神奈川県
kanagawa_037,横浜青葉温泉 喜楽里別邸,神奈川県
kanagawa_038,横濱スパヒルズ 竜泉寺の湯,神奈川県
kanagawa_039,葛の湯,神奈川県
kanagawa_040,極楽湯 横浜芹が谷店,神奈川県
kanagawa_041,綱島源泉 湯けむりの庄,神奈川県
kanagawa_042,千年温泉,神奈川県
kanagawa_043,朝日湯源泉 ゆいる,神奈川県
kanagawa_044,OYUGIWA 海老名,神奈川県
kanagawa_045,アーバン・スパ,神奈川県
kanagawa_046,おふろの王様 海老名店,神奈川県
kanagawa_047,おふろの王様 町田店,神奈川県
kanagawa_048,コロナの湯 小田原店,神奈川県
kanagawa_049,ソレイユの丘 海と夕日の湯,神奈川県
kanagawa_050,海辺の湯 久里浜店,神奈川県
kanagawa_051,湘南台温泉 らく,神奈川県
kanagawa_052,湯もみの里,神奈川県
kanagawa_053,湯快爽快 ざま,神奈川県
kanagawa_054,湯乃市 柄沢店,神奈川県
kanagawa_055,湯乃蔵ガーデン,神奈川県
kanagawa_056,竜泉寺の湯 湘南茅ヶ崎店,神奈川県
kanagawa_057,いやしの湯,神奈川県
kanagawa_058,ぶなの湯,神奈川県
kanagawa_059,弘法の里湯,神奈川県
kanagawa_060,七沢荘,神奈川県
kanagawa_061,名水はだの 富士見の湯,神奈川県
kanagawa_062,藤野やまなみ温泉,神奈川県
kanagawa_063,こごめの湯,神奈川県
kanagawa_064,さくらの湯,神奈川県
kanagawa_065,しずの湯,神奈川県
kanagawa_066,みやかみの湯,神奈川県
kanagawa_067,ゆとろ嵯峨沢の湯,神奈川県
kanagawa_068,小田原お堀端 万葉の湯,神奈川県
kanagawa_069,天山湯治郷,神奈川県
kanagawa_070,天成園,神奈川県
kanagawa_071,湯の里 おかだ,神奈川県
kanagawa_072,箱根の湯,神奈川県
kanagawa_073,龍宮殿本館,神奈川県
kanagawa_074,和泉,神奈川県
